19:39:32.337734 IP blob.dm3prdstp05c.store.core.windows.net.https > 10.0.0.5.47028: Flags [S.], seq 1064532184, ack 3357374597, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 248869302 ecr 20883487], length 0
19:39:32.724668 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49826: Flags [S.], seq 2625450282, ack 1104574418, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 252960528 ecr 20883574], length 0
19:39:33.150372 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49827: Flags [S.], seq 1872018741, ack 3946102743, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 239268597 ecr 20883681], length 0
19:39:33.640964 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49828: Flags [S.], seq 893138641, ack 2107137061, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 250803015 ecr 20883804], length 0
19:39:34.066933 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49829: Flags [S.], seq 2056131730, ack 776492756, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 16860148 ecr 20883910], length 0
19:39:34.551523 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49830: Flags [S.], seq 1345974541, ack 1088777610, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 255997141 ecr 20884031], length 0
19:39:35.117397 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49831: Flags [S.], seq 1341767791, ack 538629689, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 248512764 ecr 20884173], length 0
19:39:35.540721 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49832: Flags [S.], seq 1987374207, ack 1575611335, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 248510939 ecr 20884278], length 0
19:39:35.972291 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49833: Flags [S.], seq 3614030038, ack 4110231870, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 239267020 ecr 20884386], length 0
19:39:36.416407 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49834: Flags [S.], seq 1434866353, ack 3793369456, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 250085963 ecr 20884497], length 0
19:39:36.868790 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49835: Flags [S.], seq 3899250779, ack 3098056234, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 253679068 ecr 20884610], length 0
19:39:37.366043 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49836: Flags [S.], seq 1969856813, ack 4263833982, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 255099606 ecr 20884735], length 0
19:39:37.885170 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49838: Flags [S.], seq 756723357, ack 294333957, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 249370560 ecr 20884861], length 0
19:39:38.354960 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49839: Flags [S.], seq 1532161231, ack 3789188825, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 250805336 ecr 20884982], length 0
19:39:38.839889 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49841: Flags [S.], seq 4006642089, ack 3817263869, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 16441812 ecr 20885103], length 0
19:39:39.282427 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49844: Flags [S.], seq 2981719721, ack 2866185681, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 251497506 ecr 20885214], length 0
19:39:39.732916 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49846: Flags [S.], seq 3203359824, ack 3767670713, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 252129968 ecr 20885327], length 0
19:39:40.195583 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49847: Flags [S.], seq 4080035833, ack 3579101856, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 248501971 ecr 20885442], length 0
19:39:40.667349 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49848: Flags [S.], seq 4243555986, ack 4141218742, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 239278828 ecr 20885560], length 0
19:39:41.132761 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49849: Flags [S.], seq 3221049508, ack 3248374979, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 252944006 ecr 20885676], length 0
19:39:41.600053 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49851: Flags [S.], seq 2966792076, ack 1294606289, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 253672591 ecr 20885793], length 0
19:39:42.105264 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49852: Flags [S.], seq 3815513120, ack 1115772456, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 253671752 ecr 20885920], length 0
19:39:42.541058 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49853: Flags [S.], seq 1425207731, ack 767194954, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 249354018 ecr 20886029], length 0
19:39:42.971811 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49854: Flags [S.], seq 2175119805, ack 3582340321, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 250806667 ecr 20886136], length 0
19:39:43.442599 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49855: Flags [S.], seq 3701454936, ack 898161767, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 253687506 ecr 20886254], length 0
19:39:43.949794 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49856: Flags [S.], seq 3350505712, ack 1499955503, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 15177750 ecr 20886381], length 0
19:39:44.382991 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49857: Flags [S.], seq 1720259443, ack 1112222149, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 252956906 ecr 20886489], length 0
19:39:44.867528 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49858: Flags [S.], seq 727859732, ack 1551639385, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 255247494 ecr 20886610], length 0
19:39:45.346458 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49859: Flags [S.], seq 1989019926, ack 1986122895, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 250804251 ecr 20886730], length 0
19:39:45.833725 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49860: Flags [S.], seq 2367039939, ack 2169300066, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 252962100 ecr 20886852], length 0
