PING 13.65.92.139 (13.65.92.139) 56(84) bytes of data.
64 bytes from 13.65.92.139: icmp_seq=218 ttl=57 time=0.452 ms
64 bytes from 13.65.92.139: icmp_seq=219 ttl=57 time=0.670 ms
64 bytes from 13.65.92.139: icmp_seq=220 ttl=57 time=0.514 ms
64 bytes from 13.65.92.139: icmp_seq=221 ttl=57 time=0.509 ms
64 bytes from 13.65.92.139: icmp_seq=222 ttl=57 time=0.384 ms
64 bytes from 13.65.92.139: icmp_seq=223 ttl=57 time=0.381 ms
64 bytes from 13.65.92.139: icmp_seq=224 ttl=57 time=0.364 ms
64 bytes from 13.65.92.139: icmp_seq=225 ttl=57 time=0.361 ms
64 bytes from 13.65.92.139: icmp_seq=226 ttl=57 time=0.371 ms
64 bytes from 13.65.92.139: icmp_seq=227 ttl=57 time=0.685 ms
64 bytes from 13.65.92.139: icmp_seq=228 ttl=57 time=0.729 ms
64 bytes from 13.65.92.139: icmp_seq=229 ttl=57 time=0.509 ms
64 bytes from 13.65.92.139: icmp_seq=230 ttl=57 time=0.364 ms
64 bytes from 13.65.92.139: icmp_seq=231 ttl=57 time=0.381 ms
64 bytes from 13.65.92.139: icmp_seq=232 ttl=57 time=0.358 ms
64 bytes from 13.65.92.139: icmp_seq=233 ttl=57 time=0.358 ms
64 bytes from 13.65.92.139: icmp_seq=234 ttl=57 time=0.356 ms
64 bytes from 13.65.92.139: icmp_seq=235 ttl=57 time=0.531 ms
64 bytes from 13.65.92.139: icmp_seq=236 ttl=57 time=0.430 ms
64 bytes from 13.65.92.139: icmp_seq=237 ttl=57 time=0.572 ms
64 bytes from 13.65.92.139: icmp_seq=238 ttl=57 time=0.466 ms
64 bytes from 13.65.92.139: icmp_seq=239 ttl=57 time=0.500 ms
64 bytes from 13.65.92.139: icmp_seq=240 ttl=57 time=0.412 ms
64 bytes from 13.65.92.139: icmp_seq=241 ttl=57 time=0.375 ms
64 bytes from 13.65.92.139: icmp_seq=242 ttl=57 time=0.494 ms
64 bytes from 13.65.92.139: icmp_seq=243 ttl=57 time=0.629 ms
64 bytes from 13.65.92.139: icmp_seq=244 ttl=57 time=0.391 ms
64 bytes from 13.65.92.139: icmp_seq=245 ttl=57 time=0.381 ms
64 bytes from 13.65.92.139: icmp_seq=246 ttl=57 time=0.373 ms
64 bytes from 13.65.92.139: icmp_seq=247 ttl=57 time=0.385 ms
64 bytes from 13.65.92.139: icmp_seq=248 ttl=57 time=0.359 ms
64 bytes from 13.65.92.139: icmp_seq=249 ttl=57 time=0.371 ms
64 bytes from 13.65.92.139: icmp_seq=250 ttl=57 time=0.365 ms
64 bytes from 13.65.92.139: icmp_seq=251 ttl=57 time=0.356 ms
64 bytes from 13.65.92.139: icmp_seq=252 ttl=57 time=0.387 ms
64 bytes from 13.65.92.139: icmp_seq=253 ttl=57 time=0.661 ms
64 bytes from 13.65.92.139: icmp_seq=254 ttl=57 time=0.361 ms
64 bytes from 13.65.92.139: icmp_seq=255 ttl=57 time=0.418 ms
64 bytes from 13.65.92.139: icmp_seq=256 ttl=57 time=0.634 ms
64 bytes from 13.65.92.139: icmp_seq=257 ttl=57 time=0.684 ms
64 bytes from 13.65.92.139: icmp_seq=258 ttl=57 time=0.538 ms
64 bytes from 13.65.92.139: icmp_seq=259 ttl=57 time=0.401 ms
64 bytes from 13.65.92.139: icmp_seq=260 ttl=57 time=0.518 ms
64 bytes from 13.65.92.139: icmp_seq=261 ttl=57 time=0.398 ms
64 bytes from 13.65.92.139: icmp_seq=262 ttl=57 time=0.534 ms
64 bytes from 13.65.92.139: icmp_seq=263 ttl=57 time=0.378 ms
64 bytes from 13.65.92.139: icmp_seq=264 ttl=57 time=0.460 ms
64 bytes from 13.65.92.139: icmp_seq=265 ttl=57 time=0.399 ms
64 bytes from 13.65.92.139: icmp_seq=266 ttl=57 time=0.410 ms
64 bytes from 13.65.92.139: icmp_seq=267 ttl=57 time=0.378 ms
64 bytes from 13.65.92.139: icmp_seq=268 ttl=57 time=0.373 ms
64 bytes from 13.65.92.139: icmp_seq=269 ttl=57 time=0.368 ms
64 bytes from 13.65.92.139: icmp_seq=270 ttl=57 time=0.396 ms
64 bytes from 13.65.92.139: icmp_seq=271 ttl=57 time=0.366 ms
64 bytes from 13.65.92.139: icmp_seq=272 ttl=57 time=0.419 ms
64 bytes from 13.65.92.139: icmp_seq=273 ttl=57 time=0.602 ms
64 bytes from 13.65.92.139: icmp_seq=274 ttl=57 time=0.847 ms
64 bytes from 13.65.92.139: icmp_seq=275 ttl=57 time=0.848 ms
64 bytes from 13.65.92.139: icmp_seq=276 ttl=57 time=0.764 ms
64 bytes from 13.65.92.139: icmp_seq=277 ttl=57 time=0.877 ms
64 bytes from 13.65.92.139: icmp_seq=278 ttl=57 time=0.473 ms
64 bytes from 13.65.92.139: icmp_seq=279 ttl=57 time=0.427 ms
64 bytes from 13.65.92.139: icmp_seq=280 ttl=57 time=0.387 ms
64 bytes from 13.65.92.139: icmp_seq=281 ttl=57 time=0.736 ms
64 bytes from 13.65.92.139: icmp_seq=282 ttl=57 time=0.792 ms
64 bytes from 13.65.92.139: icmp_seq=283 ttl=57 time=0.430 ms
64 bytes from 13.65.92.139: icmp_seq=284 ttl=57 time=0.367 ms
64 bytes from 13.65.92.139: icmp_seq=285 ttl=57 time=0.375 ms
64 bytes from 13.65.92.139: icmp_seq=286 ttl=57 time=0.371 ms
64 bytes from 13.65.92.139: icmp_seq=287 ttl=57 time=0.449 ms
64 bytes from 13.65.92.139: icmp_seq=288 ttl=57 time=0.494 ms
64 bytes from 13.65.92.139: icmp_seq=289 ttl=57 time=0.464 ms
64 bytes from 13.65.92.139: icmp_seq=290 ttl=57 time=0.430 ms
64 bytes from 13.65.92.139: icmp_seq=291 ttl=57 time=0.558 ms
64 bytes from 13.65.92.139: icmp_seq=292 ttl=57 time=0.358 ms
64 bytes from 13.65.92.139: icmp_seq=293 ttl=57 time=0.624 ms
64 bytes from 13.65.92.139: icmp_seq=294 ttl=57 time=0.375 ms
64 bytes from 13.65.92.139: icmp_seq=295 ttl=57 time=0.373 ms
64 bytes from 13.65.92.139: icmp_seq=296 ttl=57 time=0.410 ms
64 bytes from 13.65.92.139: icmp_seq=297 ttl=57 time=0.705 ms
64 bytes from 13.65.92.139: icmp_seq=298 ttl=57 time=0.375 ms
64 bytes from 13.65.92.139: icmp_seq=299 ttl=57 time=0.418 ms
64 bytes from 13.65.92.139: icmp_seq=300 ttl=57 time=0.382 ms
64 bytes from 13.65.92.139: icmp_seq=301 ttl=57 time=0.400 ms
64 bytes from 13.65.92.139: icmp_seq=302 ttl=57 time=0.405 ms
64 bytes from 13.65.92.139: icmp_seq=303 ttl=57 time=0.365 ms
64 bytes from 13.65.92.139: icmp_seq=304 ttl=57 time=0.435 ms
64 bytes from 13.65.92.139: icmp_seq=305 ttl=57 time=0.452 ms
64 bytes from 13.65.92.139: icmp_seq=306 ttl=57 time=0.373 ms
64 bytes from 13.65.92.139: icmp_seq=307 ttl=57 time=0.404 ms
64 bytes from 13.65.92.139: icmp_seq=308 ttl=57 time=0.554 ms
64 bytes from 13.65.92.139: icmp_seq=309 ttl=57 time=0.439 ms
64 bytes from 13.65.92.139: icmp_seq=310 ttl=57 time=0.573 ms
64 bytes from 13.65.92.139: icmp_seq=311 ttl=57 time=0.445 ms
64 bytes from 13.65.92.139: icmp_seq=312 ttl=57 time=0.372 ms
64 bytes from 13.65.92.139: icmp_seq=313 ttl=57 time=0.424 ms
64 bytes from 13.65.92.139: icmp_seq=314 ttl=57 time=0.590 ms
64 bytes from 13.65.92.139: icmp_seq=315 ttl=57 time=0.361 ms
64 bytes from 13.65.92.139: icmp_seq=316 ttl=57 time=0.605 ms
64 bytes from 13.65.92.139: icmp_seq=317 ttl=57 time=0.435 ms
64 bytes from 13.65.92.139: icmp_seq=318 ttl=57 time=0.450 ms
64 bytes from 13.65.92.139: icmp_seq=319 ttl=57 time=0.452 ms
64 bytes from 13.65.92.139: icmp_seq=320 ttl=57 time=0.485 ms
64 bytes from 13.65.92.139: icmp_seq=321 ttl=57 time=0.372 ms
64 bytes from 13.65.92.139: icmp_seq=322 ttl=57 time=0.566 ms
64 bytes from 13.65.92.139: icmp_seq=323 ttl=57 time=0.480 ms
64 bytes from 13.65.92.139: icmp_seq=324 ttl=57 time=0.506 ms
64 bytes from 13.65.92.139: icmp_seq=325 ttl=57 time=0.589 ms
64 bytes from 13.65.92.139: icmp_seq=326 ttl=57 time=0.388 ms
64 bytes from 13.65.92.139: icmp_seq=327 ttl=57 time=0.389 ms
64 bytes from 13.65.92.139: icmp_seq=328 ttl=57 time=0.570 ms
64 bytes from 13.65.92.139: icmp_seq=329 ttl=57 time=0.445 ms
64 bytes from 13.65.92.139: icmp_seq=330 ttl=57 time=0.402 ms
64 bytes from 13.65.92.139: icmp_seq=331 ttl=57 time=0.379 ms
