PING 13.66.225.134 (13.66.225.134) 56(84) bytes of data.
64 bytes from 13.66.225.134: icmp_seq=169 ttl=59 time=0.917 ms
64 bytes from 13.66.225.134: icmp_seq=170 ttl=59 time=0.945 ms
64 bytes from 13.66.225.134: icmp_seq=171 ttl=59 time=0.851 ms
64 bytes from 13.66.225.134: icmp_seq=172 ttl=59 time=0.959 ms
64 bytes from 13.66.225.134: icmp_seq=173 ttl=59 time=0.777 ms
64 bytes from 13.66.225.134: icmp_seq=174 ttl=59 time=1.33 ms
64 bytes from 13.66.225.134: icmp_seq=175 ttl=59 time=1.06 ms
64 bytes from 13.66.225.134: icmp_seq=176 ttl=59 time=0.987 ms
64 bytes from 13.66.225.134: icmp_seq=177 ttl=59 time=0.895 ms
64 bytes from 13.66.225.134: icmp_seq=178 ttl=59 time=0.664 ms
64 bytes from 13.66.225.134: icmp_seq=179 ttl=59 time=0.848 ms
64 bytes from 13.66.225.134: icmp_seq=180 ttl=59 time=0.624 ms
64 bytes from 13.66.225.134: icmp_seq=181 ttl=59 time=0.538 ms
64 bytes from 13.66.225.134: icmp_seq=182 ttl=59 time=1.51 ms
64 bytes from 13.66.225.134: icmp_seq=183 ttl=59 time=0.833 ms
64 bytes from 13.66.225.134: icmp_seq=184 ttl=59 time=1.24 ms
64 bytes from 13.66.225.134: icmp_seq=185 ttl=59 time=0.481 ms
64 bytes from 13.66.225.134: icmp_seq=186 ttl=59 time=0.830 ms
64 bytes from 13.66.225.134: icmp_seq=187 ttl=59 time=1.46 ms
64 bytes from 13.66.225.134: icmp_seq=188 ttl=59 time=0.994 ms
64 bytes from 13.66.225.134: icmp_seq=189 ttl=59 time=1.00 ms
64 bytes from 13.66.225.134: icmp_seq=190 ttl=59 time=0.721 ms
64 bytes from 13.66.225.134: icmp_seq=191 ttl=59 time=0.561 ms
64 bytes from 13.66.225.134: icmp_seq=192 ttl=59 time=1.34 ms
64 bytes from 13.66.225.134: icmp_seq=193 ttl=59 time=0.808 ms
64 bytes from 13.66.225.134: icmp_seq=194 ttl=59 time=0.859 ms
64 bytes from 13.66.225.134: icmp_seq=195 ttl=59 time=0.997 ms
64 bytes from 13.66.225.134: icmp_seq=196 ttl=59 time=0.968 ms
64 bytes from 13.66.225.134: icmp_seq=197 ttl=59 time=0.716 ms
64 bytes from 13.66.225.134: icmp_seq=198 ttl=59 time=1.29 ms
64 bytes from 13.66.225.134: icmp_seq=199 ttl=59 time=1.14 ms
64 bytes from 13.66.225.134: icmp_seq=200 ttl=59 time=0.976 ms
64 bytes from 13.66.225.134: icmp_seq=201 ttl=59 time=1.04 ms
64 bytes from 13.66.225.134: icmp_seq=202 ttl=59 time=0.929 ms
64 bytes from 13.66.225.134: icmp_seq=203 ttl=59 time=0.991 ms
64 bytes from 13.66.225.134: icmp_seq=204 ttl=59 time=0.895 ms
64 bytes from 13.66.225.134: icmp_seq=205 ttl=59 time=0.967 ms
64 bytes from 13.66.225.134: icmp_seq=206 ttl=59 time=0.954 ms
64 bytes from 13.66.225.134: icmp_seq=207 ttl=59 time=0.949 ms
64 bytes from 13.66.225.134: icmp_seq=208 ttl=59 time=0.914 ms
64 bytes from 13.66.225.134: icmp_seq=209 ttl=59 time=1.00 ms
64 bytes from 13.66.225.134: icmp_seq=210 ttl=59 time=0.882 ms
64 bytes from 13.66.225.134: icmp_seq=211 ttl=59 time=1.04 ms
64 bytes from 13.66.225.134: icmp_seq=212 ttl=59 time=0.819 ms
64 bytes from 13.66.225.134: icmp_seq=213 ttl=59 time=0.917 ms
64 bytes from 13.66.225.134: icmp_seq=214 ttl=59 time=0.621 ms
64 bytes from 13.66.225.134: icmp_seq=215 ttl=59 time=1.21 ms
64 bytes from 13.66.225.134: icmp_seq=216 ttl=59 time=0.993 ms
64 bytes from 13.66.225.134: icmp_seq=217 ttl=59 time=0.750 ms
64 bytes from 13.66.225.134: icmp_seq=218 ttl=59 time=0.927 ms
64 bytes from 13.66.225.134: icmp_seq=219 ttl=59 time=0.936 ms
64 bytes from 13.66.225.134: icmp_seq=220 ttl=59 time=0.803 ms
64 bytes from 13.66.225.134: icmp_seq=221 ttl=59 time=0.808 ms
64 bytes from 13.66.225.134: icmp_seq=222 ttl=59 time=0.389 ms
64 bytes from 13.66.225.134: icmp_seq=223 ttl=59 time=0.348 ms
64 bytes from 13.66.225.134: icmp_seq=224 ttl=59 time=1.26 ms
64 bytes from 13.66.225.134: icmp_seq=225 ttl=59 time=0.808 ms
64 bytes from 13.66.225.134: icmp_seq=226 ttl=59 time=0.794 ms
64 bytes from 13.66.225.134: icmp_seq=227 ttl=59 time=0.675 ms
64 bytes from 13.66.225.134: icmp_seq=228 ttl=59 time=0.690 ms
64 bytes from 13.66.225.134: icmp_seq=229 ttl=59 time=0.853 ms
64 bytes from 13.66.225.134: icmp_seq=230 ttl=59 time=0.760 ms
64 bytes from 13.66.225.134: icmp_seq=231 ttl=59 time=0.750 ms
64 bytes from 13.66.225.134: icmp_seq=232 ttl=59 time=0.387 ms
64 bytes from 13.66.225.134: icmp_seq=233 ttl=59 time=0.804 ms
64 bytes from 13.66.225.134: icmp_seq=234 ttl=59 time=0.626 ms
64 bytes from 13.66.225.134: icmp_seq=235 ttl=59 time=0.746 ms
64 bytes from 13.66.225.134: icmp_seq=236 ttl=59 time=0.855 ms
64 bytes from 13.66.225.134: icmp_seq=237 ttl=59 time=0.697 ms
64 bytes from 13.66.225.134: icmp_seq=238 ttl=59 time=1.06 ms
64 bytes from 13.66.225.134: icmp_seq=239 ttl=59 time=1.32 ms
64 bytes from 13.66.225.134: icmp_seq=240 ttl=59 time=0.801 ms
64 bytes from 13.66.225.134: icmp_seq=241 ttl=59 time=0.548 ms
64 bytes from 13.66.225.134: icmp_seq=242 ttl=59 time=0.722 ms
64 bytes from 13.66.225.134: icmp_seq=243 ttl=59 time=1.08 ms
64 bytes from 13.66.225.134: icmp_seq=244 ttl=59 time=0.868 ms
64 bytes from 13.66.225.134: icmp_seq=245 ttl=59 time=1.67 ms
64 bytes from 13.66.225.134: icmp_seq=246 ttl=59 time=0.820 ms
64 bytes from 13.66.225.134: icmp_seq=247 ttl=59 time=0.820 ms
64 bytes from 13.66.225.134: icmp_seq=248 ttl=59 time=1.05 ms
64 bytes from 13.66.225.134: icmp_seq=249 ttl=59 time=0.833 ms
64 bytes from 13.66.225.134: icmp_seq=250 ttl=59 time=0.773 ms
64 bytes from 13.66.225.134: icmp_seq=251 ttl=59 time=1.19 ms
64 bytes from 13.66.225.134: icmp_seq=252 ttl=59 time=0.530 ms
64 bytes from 13.66.225.134: icmp_seq=253 ttl=59 time=0.726 ms
64 bytes from 13.66.225.134: icmp_seq=254 ttl=59 time=0.708 ms
64 bytes from 13.66.225.134: icmp_seq=255 ttl=59 time=0.991 ms
64 bytes from 13.66.225.134: icmp_seq=256 ttl=59 time=1.95 ms
64 bytes from 13.66.225.134: icmp_seq=257 ttl=59 time=0.931 ms
64 bytes from 13.66.225.134: icmp_seq=258 ttl=59 time=0.979 ms
64 bytes from 13.66.225.134: icmp_seq=259 ttl=59 time=1.65 ms
64 bytes from 13.66.225.134: icmp_seq=260 ttl=59 time=0.920 ms
64 bytes from 13.66.225.134: icmp_seq=261 ttl=59 time=0.819 ms
64 bytes from 13.66.225.134: icmp_seq=262 ttl=59 time=1.65 ms
64 bytes from 13.66.225.134: icmp_seq=263 ttl=59 time=1.22 ms
64 bytes from 13.66.225.134: icmp_seq=264 ttl=59 time=0.887 ms
64 bytes from 13.66.225.134: icmp_seq=265 ttl=59 time=0.833 ms
64 bytes from 13.66.225.134: icmp_seq=266 ttl=59 time=0.856 ms
64 bytes from 13.66.225.134: icmp_seq=267 ttl=59 time=0.979 ms
64 bytes from 13.66.225.134: icmp_seq=268 ttl=59 time=0.917 ms
64 bytes from 13.66.225.134: icmp_seq=269 ttl=59 time=1.55 ms
64 bytes from 13.66.225.134: icmp_seq=270 ttl=59 time=0.801 ms
64 bytes from 13.66.225.134: icmp_seq=271 ttl=59 time=1.06 ms
64 bytes from 13.66.225.134: icmp_seq=272 ttl=59 time=0.838 ms
64 bytes from 13.66.225.134: icmp_seq=273 ttl=59 time=0.798 ms
64 bytes from 13.66.225.134: icmp_seq=274 ttl=59 time=0.898 ms
64 bytes from 13.66.225.134: icmp_seq=275 ttl=59 time=1.36 ms
64 bytes from 13.66.225.134: icmp_seq=276 ttl=59 time=0.985 ms
64 bytes from 13.66.225.134: icmp_seq=277 ttl=59 time=0.708 ms
64 bytes from 13.66.225.134: icmp_seq=278 ttl=59 time=1.08 ms
64 bytes from 13.66.225.134: icmp_seq=279 ttl=59 time=1.02 ms
64 bytes from 13.66.225.134: icmp_seq=280 ttl=59 time=0.499 ms
64 bytes from 13.66.225.134: icmp_seq=281 ttl=59 time=0.548 ms
64 bytes from 13.66.225.134: icmp_seq=282 ttl=59 time=0.454 ms
64 bytes from 13.66.225.134: icmp_seq=283 ttl=59 time=0.425 ms
64 bytes from 13.66.225.134: icmp_seq=284 ttl=59 time=0.761 ms
64 bytes from 13.66.225.134: icmp_seq=285 ttl=59 time=0.481 ms
64 bytes from 13.66.225.134: icmp_seq=286 ttl=59 time=1.00 ms
64 bytes from 13.66.225.134: icmp_seq=287 ttl=59 time=0.710 ms
64 bytes from 13.66.225.134: icmp_seq=288 ttl=59 time=0.435 ms
64 bytes from 13.66.225.134: icmp_seq=289 ttl=59 time=0.261 ms
64 bytes from 13.66.225.134: icmp_seq=290 ttl=59 time=0.258 ms
64 bytes from 13.66.225.134: icmp_seq=291 ttl=59 time=0.308 ms
64 bytes from 13.66.225.134: icmp_seq=292 ttl=59 time=0.810 ms
64 bytes from 13.66.225.134: icmp_seq=293 ttl=59 time=0.837 ms
64 bytes from 13.66.225.134: icmp_seq=294 ttl=59 time=0.974 ms
64 bytes from 13.66.225.134: icmp_seq=295 ttl=59 time=0.800 ms
